state_code,time_stamp,type,weighted_sentiment,bert_label,year,month
NJ,2025-04-03 14:29:00,neg,-0.2,-1,2025,4
TX,2025-04-03 00:07:00,neg,-80.0,-1,2025,4
TX,2025-04-02 21:06:00,pos,46.0,1,2025,4
VA,2025-04-02 20:57:00,neg,-12.0,-1,2025,4
WI,2025-04-02 20:55:00,neutral,0.0,0,2025,4
IN,2025-04-03 18:01:00,neg,-68.0,-1,2025,4
IN,2025-04-03 06:04:00,pos,143.0,1,2025,4
IN,2025-04-03 12:39:00,neutral,0.0,0,2025,4
NY,2025-04-02 19:21:00,pos,0.8186274509803921,1,2025,4
OH,2025-04-02 20:14:00,pos,0.4536082474226804,1,2025,4
OK,2025-04-03 17:09:00,pos,0.0,1,2025,4
TX,2025-04-03 01:23:00,neg,-38.0,-1,2025,4
TX,2025-04-03 13:05:00,neg,-20.0,-1,2025,4
WA,2025-04-02 23:41:00,neutral,0.0,0,2025,4
WI,2025-04-02 18:44:00,neutral,0.0,0,2025,4
CT,2025-04-01 23:34:00,pos,0.0,1,2025,4
IA,2025-04-01 02:56:00,pos,57.0,1,2025,4
ND,2025-04-01 16:29:00,neutral,0.0,0,2025,4
OH,2025-04-01 02:41:00,pos,0.0,1,2025,4
PA,2025-04-01 00:00:00,neg,-255.0,-1,2025,4
TX,2025-04-01 01:44:00,neg,-173.0,-1,2025,4
VA,2025-04-01 23:02:00,neg,-32.0,-1,2025,4
WI,2025-04-01 21:43:00,neg,-27.0,-1,2025,4
CA,2025-04-01 08:26:00,pos,408.0,1,2025,4
CO,2025-04-01 02:41:00,neutral,0.0,0,2025,4
KS,2025-04-01 03:39:00,neg,-0.4166666666666667,-1,2025,4
KS,2025-04-01 02:59:00,neg,-61.0,-1,2025,4
KY,2025-04-01 10:05:00,neutral,0.0,0,2025,4
MA,2025-04-01 19:43:00,neutral,0.0,0,2025,4
MI,2025-04-01 13:47:00,pos,57.0,1,2025,4
NY,2025-04-01 14:26:00,pos,108.0,1,2025,4
NC,2025-04-01 17:21:00,pos,0.0,1,2025,4
OH,2025-04-01 12:15:00,pos,324.0,1,2025,4
OK,2025-04-01 16:28:00,pos,0.0,1,2025,4
OR,2025-04-01 21:56:00,neg,-0.5789473684210527,-1,2025,4
TX,2025-04-01 18:38:00,pos,224.0,1,2025,4
WA,2025-04-01 18:27:00,neg,0.0,-1,2025,4
WA,2025-04-01 21:56:00,neg,0.0,-1,2025,4
NY,2011-08-24 12:48:00,neutral,0.0,0,2011,8
NY,2012-08-16 15:14:00,pos,31.0,1,2012,8
FL,2012-10-01 16:06:00,pos,0.25,1,2012,10
OH,2012-10-12 19:05:00,pos,3.0,1,2012,10
OH,2012-11-09 22:55:00,pos,0.0,1,2012,11
KY,2013-02-28 14:49:00,neutral,0.0,0,2013,2
KY,2013-03-05 02:11:00,pos,0.5714285714285714,1,2013,3
NY,2013-03-15 13:56:00,neg,-340.0,-1,2013,3
IL,2013-04-23 16:48:00,pos,0.0,1,2013,4
NM,2013-05-04 23:13:00,neutral,0.0,0,2013,5
NY,2013-05-06 12:40:00,neutral,0.0,0,2013,5
NC,2013-05-14 05:22:00,neg,-20.0,-1,2013,5
GA,2013-06-08 03:20:00,neg,-98.0,-1,2013,6
GA,2013-06-21 19:24:00,neutral,0.0,0,2013,6
CA,2013-07-18 20:27:00,neutral,0.0,0,2013,7
AZ,2013-08-01 01:05:00,neutral,0.0,0,2013,8
IL,2013-08-02 14:08:00,neutral,0.0,0,2013,8
AZ,2013-08-02 20:22:00,neutral,0.0,0,2013,8
PA,2013-08-16 20:45:00,neg,-0.5591397849462365,-1,2013,8
OK,2013-08-26 03:16:00,neutral,0.0,0,2013,8
MI,2013-09-01 23:13:00,pos,0.0,1,2013,9
FL,2013-09-06 04:32:00,pos,11.0,1,2013,9
IN,2013-09-09 15:48:00,neutral,0.0,0,2013,9
OH,2013-09-18 22:04:00,pos,0.7407407407407407,1,2013,9
IA,2013-09-21 01:52:00,pos,0.16666666666666666,1,2013,9
OH,2013-09-23 14:27:00,pos,37.0,1,2013,9
FL,2013-09-29 06:16:00,neutral,0.0,0,2013,9
GA,2013-10-28 19:44:00,neutral,0.0,0,2013,10
AZ,2013-11-10 18:54:00,neutral,0.0,0,2013,11
FL,2013-11-14 20:17:00,pos,1.0,1,2013,11
OH,2013-11-27 22:28:00,neutral,0.0,0,2013,11
OH,2013-12-03 03:50:00,pos,110.0,1,2013,12
OH,2013-12-03 22:38:00,neg,-28.0,-1,2013,12
OH,2013-12-08 18:03:00,neutral,0.0,0,2013,12
IN,2013-12-13 16:06:00,neutral,0.0,0,2013,12
OH,2013-12-20 21:10:00,neutral,0.0,0,2013,12
OH,2013-12-22 06:06:00,neutral,0.0,0,2013,12
